imagen_id,VP,FP,VN,FN,sensibilidad,especificidad,precision,exactitud,f1_score,dice,iou,mcc,npv,balanced_accuracy,fpr,fnr,area_real,area_predicha,hausdorff_distance,avg_surface_distance
TCGA_HT_A61A_52,130,7,15875,372,0.259,0.9996,0.9489,0.9769,0.4069,0.4069,0.2554,0.4893,0.9771,0.6293,0.0004,0.741,502,137,9.22,1.68
TCGA_HT_A61A_58,0,0,16363,21,0.0,1.0,0.0,0.9987,0.0,0.0,0.0,0.0,0.9987,0.5,0.0,1.0,21,0,,
TCGA_HT_A61A_60,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61A_84,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_12,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_13,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_15,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_19,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_23,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_26,0,0,16347,37,0.0,1.0,0.0,0.9977,0.0,0.0,0.0,0.0,0.9977,0.5,0.0,1.0,37,0,,
TCGA_HT_A61B_31,78,27,16193,86,0.4756,0.9983,0.7429,0.9931,0.5799,0.5799,0.4084,0.5912,0.9947,0.737,0.0017,0.5244,164,105,10.82,1.33
TCGA_HT_A61B_39,335,11,15966,72,0.8231,0.9993,0.9682,0.9949,0.8898,0.8898,0.8014,0.8903,0.9955,0.9112,0.0007,0.1769,407,346,3.16,0.15
TCGA_HT_A61B_41,462,18,15781,123,0.7897,0.9989,0.9625,0.9914,0.8676,0.8676,0.7662,0.8677,0.9923,0.8943,0.0011,0.2103,585,480,8.25,0.3
TCGA_HT_A61B_42,414,17,15825,128,0.7638,0.9989,0.9606,0.9911,0.851,0.851,0.7406,0.8524,0.992,0.8814,0.0011,0.2362,542,431,8.25,0.35
TCGA_HT_A61B_45,410,28,15857,89,0.8216,0.9982,0.9361,0.9929,0.8751,0.8751,0.778,0.8734,0.9944,0.9099,0.0018,0.1784,499,438,5.83,0.22
TCGA_HT_A61B_49,56,57,16268,3,0.9492,0.9965,0.4956,0.9963,0.6512,0.6512,0.4828,0.6844,0.9998,0.9728,0.0035,0.0508,59,113,8.06,0.56
TCGA_HT_A61B_60,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_61,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_76,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_7,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_HT_A61B_86,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
